service_id,vehicle_id,service_date,service_type,resolution_days,service_cost
SERV-00412,VEH-0984,2024-10-21,Routine Maintenance,29,1493.96
SERV-00413,VEH-0456,2025-09-10,Emergency Repair,24,106.91
SERV-00414,VEH-0549,2025-05-14,Routine Maintenance,7,472.21
SERV-00415,VEH-0447,2025-07-02,Inspection,25,1250.05
SERV-00416,VEH-0461,2024-11-10,Repair,14,476.91
SERV-00417,VEH-0500,2022-06-29,Repair,15,1253.35
SERV-00418,VEH-0404,2025-07-24,Routine Maintenance,24,775.95
SERV-00419,VEH-0940,2024-02-14,Repair,13,649.66
SERV-00420,VEH-0969,2024-08-16,Routine Maintenance,6,707.84
SERV-00421,VEH-0026,2025-11-05,Repair,29,709.29
SERV-00422,VEH-0450,2024-03-15,Inspection,23,990.44
SERV-00423,VEH-0603,2023-01-14,Routine Maintenance,3,215.54
SERV-00424,VEH-0355,2024-12-02,Inspection,3,809.54
SERV-00425,VEH-0473,2024-11-29,Repair,13,848.0
SERV-00426,VEH-0357,2024-09-26,Repair,30,536.03
SERV-00427,VEH-0849,2024-12-16,Repair,28,259.68
SERV-00428,VEH-0398,2025-12-04,Routine Maintenance,14,496.69
SERV-00429,VEH-0033,2025-11-29,Emergency Repair,10,958.36
SERV-00430,VEH-0183,2024-01-03,Repair,7,55.12
SERV-00431,VEH-0930,2025-06-22,Inspection,1,715.03
SERV-00432,VEH-0275,2025-02-17,Routine Maintenance,20,1329.92
SERV-00433,VEH-0274,2024-06-10,Repair,19,1006.23
SERV-00434,VEH-0173,2025-05-16,Emergency Repair,15,165.14
SERV-00435,VEH-0271,2025-11-25,Routine Maintenance,8,1329.14
SERV-00436,VEH-0326,2023-12-02,Repair,2,318.02
SERV-00437,VEH-0545,2022-10-29,Inspection,2,260.79
SERV-00438,VEH-0024,2023-08-25,Inspection,11,1384.56
SERV-00439,VEH-0623,2024-05-26,Routine Maintenance,14,1490.92
SERV-00440,VEH-0880,2023-09-01,Inspection,20,1008.34
SERV-00441,VEH-0410,2025-09-30,Repair,15,1136.54
SERV-00442,VEH-0727,2024-05-23,Routine Maintenance,3,1164.34
SERV-00443,VEH-0967,2024-08-22,Inspection,29,599.46
SERV-00444,VEH-0565,2023-02-04,Emergency Repair,27,848.18
SERV-00445,VEH-0919,2024-06-15,Emergency Repair,5,226.93
SERV-00446,VEH-0934,2024-01-08,Inspection,17,649.95
SERV-00447,VEH-0491,2024-07-21,Repair,20,134.37
SERV-00448,VEH-0645,2025-09-16,Routine Maintenance,16,1099.91
SERV-00449,VEH-0004,2025-12-30,Inspection,14,932.82
SERV-00450,VEH-0549,2025-04-08,Inspection,17,883.96
SERV-00451,VEH-0712,2025-03-20,Inspection,30,238.08
SERV-00452,VEH-0963,2025-10-27,Emergency Repair,16,1221.57
SERV-00453,VEH-0373,2024-05-25,Inspection,7,52.29
SERV-00454,VEH-0112,2023-12-15,Emergency Repair,21,1205.26
SERV-00455,VEH-0966,2025-04-22,Emergency Repair,14,115.96
SERV-00456,VEH-0831,2025-07-11,Repair,1,978.9
SERV-00457,VEH-0656,2024-01-18,Inspection,26,148.36
SERV-00458,VEH-0013,2024-11-03,Inspection,25,58.89
SERV-00459,VEH-0094,2025-02-28,Inspection,13,1100.38
SERV-00460,VEH-0335,2025-12-09,Routine Maintenance,27,304.66
SERV-00461,VEH-0662,2024-11-12,Inspection,30,1025.09
SERV-00462,VEH-0813,2024-10-15,Routine Maintenance,21,246.84
SERV-00463,VEH-0708,2024-02-28,Emergency Repair,29,1304.58
SERV-00464,VEH-0871,2024-06-10,Emergency Repair,26,1230.54
SERV-00465,VEH-0671,2022-12-10,Inspection,19,1101.2
SERV-00466,VEH-0594,2023-12-11,Routine Maintenance,7,887.23
SERV-00467,VEH-0636,2025-07-12,Inspection,3,1455.94
SERV-00468,VEH-0962,2024-05-19,Routine Maintenance,11,1476.25
SERV-00469,VEH-0489,2025-11-11,Repair,19,928.25
SERV-00470,VEH-0504,2025-04-16,Routine Maintenance,28,1184.4
SERV-00471,VEH-0666,2024-03-08,Inspection,23,95.86
SERV-00472,VEH-0426,2024-10-27,Routine Maintenance,16,1321.72
SERV-00473,VEH-0574,2025-02-23,Emergency Repair,27,1428.55
SERV-00474,VEH-0877,2024-02-13,Inspection,6,212.74
SERV-00475,VEH-0397,2024-07-23,Repair,30,184.28
SERV-00476,VEH-0187,2025-03-16,Routine Maintenance,26,749.86
SERV-00477,VEH-0730,2024-10-02,Repair,7,543.17
SERV-00478,VEH-0344,2025-04-22,Inspection,25,524.64
SERV-00479,VEH-0146,2022-12-04,Repair,7,1100.63
SERV-00480,VEH-0436,2024-11-02,Emergency Repair,23,1303.97
SERV-00481,VEH-0836,2023-04-19,Routine Maintenance,10,1401.89
SERV-00482,VEH-0181,2025-09-02,Routine Maintenance,11,726.97
SERV-00483,VEH-0077,2023-11-22,Routine Maintenance,17,1160.96
SERV-00484,VEH-0400,2023-12-04,Routine Maintenance,19,1149.82
SERV-00485,VEH-0968,2025-01-14,Repair,11,340.81
SERV-00486,VEH-0194,2024-08-29,Inspection,18,512.77
SERV-00487,VEH-0790,2025-07-09,Routine Maintenance,9,266.52
SERV-00488,VEH-0461,2024-05-02,Routine Maintenance,1,1439.53
SERV-00489,VEH-0418,2025-07-21,Routine Maintenance,7,836.67
SERV-00490,VEH-0452,2025-06-22,Inspection,9,255.26
SERV-00491,VEH-0419,2024-12-08,Repair,6,153.3
SERV-00492,VEH-0323,2025-05-20,Emergency Repair,2,238.61
SERV-00493,VEH-0639,2025-07-24,Routine Maintenance,4,606.22
SERV-00494,VEH-0965,2024-12-29,Emergency Repair,13,309.53
SERV-00495,VEH-0618,2025-12-16,Emergency Repair,20,565.66
SERV-00496,VEH-0422,2024-09-02,Repair,23,1149.68
SERV-00497,VEH-0632,2025-12-08,Routine Maintenance,30,1145.83
SERV-00498,VEH-0816,2024-10-13,Repair,3,1228.63
SERV-00499,VEH-0993,2025-08-03,Routine Maintenance,15,500.07
SERV-00500,VEH-0976,2025-09-30,Emergency Repair,16,385.96
SERV-00501,VEH-0243,2023-12-26,Repair,28,1348.77
SERV-00502,VEH-0802,2024-03-16,Inspection,13,315.86
SERV-00503,VEH-0829,2025-09-05,Inspection,26,1298.15
SERV-00504,VEH-0242,2024-02-08,Emergency Repair,16,93.88
SERV-00505,VEH-0225,2025-07-23,Routine Maintenance,12,744.05
SERV-00506,VEH-0660,2024-11-26,Inspection,25,555.49
SERV-00507,VEH-0461,2025-03-06,Repair,17,199.25
SERV-00508,VEH-0590,2025-10-24,Routine Maintenance,11,856.42
SERV-00509,VEH-0343,2024-07-01,Inspection,18,718.41
SERV-00510,VEH-0843,2025-07-09,Emergency Repair,8,950.27
SERV-00511,VEH-0987,2025-03-23,Repair,16,606.53
SERV-00512,VEH-0809,2025-06-19,Repair,27,1056.39
SERV-00513,VEH-0107,2025-07-12,Emergency Repair,19,1191.62
SERV-00514,VEH-0328,2025-02-20,Repair,6,1010.79
SERV-00515,VEH-0296,2023-07-17,Emergency Repair,4,908.64
SERV-00516,VEH-0618,2025-03-19,Inspection,18,191.6
SERV-00517,VEH-0711,2025-04-27,Repair,10,1436.03
SERV-00518,VEH-0606,2024-11-20,Routine Maintenance,22,1230.4
SERV-00519,VEH-0490,2025-05-07,Inspection,16,985.23
SERV-00520,VEH-0981,2023-05-12,Routine Maintenance,7,1234.7
SERV-00521,VEH-0812,2022-12-01,Repair,22,266.36
SERV-00522,VEH-0019,2024-10-20,Inspection,13,942.58
SERV-00523,VEH-0236,2025-03-12,Repair,7,1038.2
SERV-00524,VEH-0871,2024-05-03,Inspection,19,1201.8
SERV-00525,VEH-0901,2025-02-10,Inspection,30,1417.83
SERV-00526,VEH-0010,2025-03-25,Inspection,3,894.95
SERV-00527,VEH-0978,2025-06-19,Emergency Repair,28,234.96
SERV-00528,VEH-0327,2025-04-14,Routine Maintenance,12,1356.56
SERV-00529,VEH-0435,2024-12-15,Routine Maintenance,23,862.04
SERV-00530,VEH-0901,2025-12-14,Inspection,4,1298.81
SERV-00531,VEH-0844,2022-11-03,Repair,14,1068.22
SERV-00532,VEH-0785,2024-10-24,Inspection,23,605.04
SERV-00533,VEH-0372,2025-06-20,Emergency Repair,18,356.26
SERV-00534,VEH-0245,2023-03-21,Emergency Repair,5,322.93
SERV-00535,VEH-0763,2024-11-24,Inspection,27,654.99
SERV-00536,VEH-0355,2024-01-07,Repair,5,66.82
SERV-00537,VEH-0664,2022-10-06,Repair,24,1333.09
SERV-00538,VEH-0161,2025-06-10,Emergency Repair,5,172.76
SERV-00539,VEH-0285,2025-10-20,Emergency Repair,28,711.24
SERV-00540,VEH-0840,2025-11-23,Emergency Repair,20,310.71
SERV-00541,VEH-0076,2025-10-05,Emergency Repair,18,1239.1
SERV-00542,VEH-0442,2025-03-09,Inspection,8,319.4
SERV-00543,VEH-0474,2025-10-25,Routine Maintenance,19,772.33
SERV-00544,VEH-0591,2025-09-20,Repair,23,777.51
SERV-00545,VEH-0764,2024-10-04,Inspection,2,1468.44
SERV-00546,VEH-0996,2024-12-03,Emergency Repair,23,584.44
SERV-00547,VEH-0256,2025-05-14,Emergency Repair,23,166.09
SERV-00548,VEH-0401,2025-11-03,Inspection,15,799.58
SERV-00549,VEH-0711,2025-10-04,Routine Maintenance,8,735.05
SERV-00550,VEH-0973,2022-10-19,Inspection,20,126.52
SERV-00551,VEH-0816,2024-06-10,Routine Maintenance,16,708.35
SERV-00552,VEH-0575,2025-07-09,Inspection,14,561.73
SERV-00553,VEH-0522,2025-08-15,Inspection,10,292.89
SERV-00554,VEH-0107,2025-11-24,Inspection,24,1188.28
SERV-00555,VEH-0039,2024-01-09,Routine Maintenance,21,736.08
SERV-00556,VEH-0486,2025-03-04,Routine Maintenance,22,1486.03
SERV-00557,VEH-0425,2024-08-05,Inspection,16,169.64
SERV-00558,VEH-0871,2025-05-25,Routine Maintenance,28,1186.46
SERV-00559,VEH-0134,2024-12-21,Repair,20,457.41
SERV-00560,VEH-0586,2024-07-02,Routine Maintenance,24,211.75
SERV-00561,VEH-0542,2024-12-19,Repair,22,697.65
SERV-00562,VEH-0835,2024-08-14,Inspection,26,1066.12
SERV-00563,VEH-0658,2025-10-24,Repair,26,814.71
SERV-00564,VEH-0964,2022-12-05,Inspection,3,1452.65
SERV-00565,VEH-0765,2025-11-07,Repair,27,769.12
SERV-00566,VEH-0123,2025-01-28,Emergency Repair,8,1007.97
SERV-00567,VEH-0692,2025-09-16,Repair,7,887.75
SERV-00568,VEH-0667,2025-05-15,Routine Maintenance,21,433.37
SERV-00569,VEH-0676,2024-09-04,Routine Maintenance,6,722.82
SERV-00570,VEH-0449,2025-04-09,Inspection,16,1131.92
SERV-00571,VEH-0212,2025-10-22,Repair,13,1041.09
SERV-00572,VEH-0072,2025-03-13,Emergency Repair,9,260.47
SERV-00573,VEH-0163,2024-10-21,Routine Maintenance,10,1394.47
SERV-00574,VEH-0776,2025-01-30,Emergency Repair,22,507.75
SERV-00575,VEH-0308,2025-08-31,Routine Maintenance,4,1380.68
SERV-00576,VEH-0053,2024-08-13,Emergency Repair,20,1381.16
SERV-00577,VEH-0241,2024-12-23,Inspection,9,437.28
SERV-00578,VEH-0921,2022-12-14,Inspection,21,897.06
SERV-00579,VEH-0606,2025-06-09,Repair,24,1024.24
SERV-00580,VEH-0621,2025-05-27,Repair,17,539.24
SERV-00581,VEH-0350,2025-02-07,Inspection,18,65.34
SERV-00582,VEH-0303,2024-08-21,Routine Maintenance,1,646.31
SERV-00583,VEH-0279,2025-11-17,Routine Maintenance,22,696.62
SERV-00584,VEH-0165,2024-10-27,Inspection,9,329.97
SERV-00585,VEH-0844,2022-10-19,Routine Maintenance,2,1410.83
SERV-00586,VEH-0167,2025-10-31,Repair,20,975.22
SERV-00587,VEH-0068,2022-12-23,Routine Maintenance,28,926.79
SERV-00588,VEH-0288,2024-12-22,Repair,29,210.73
SERV-00589,VEH-0218,2023-09-27,Inspection,10,727.09
SERV-00590,VEH-0971,2022-12-05,Emergency Repair,30,1493.11
SERV-00591,VEH-0845,2025-07-28,Emergency Repair,23,1359.92
SERV-00592,VEH-0318,2024-01-16,Inspection,6,1182.06
SERV-00593,VEH-0519,2024-05-28,Routine Maintenance,13,613.46
SERV-00594,VEH-0315,2023-01-10,Inspection,27,433.76
SERV-00595,VEH-0637,2025-02-17,Routine Maintenance,16,1470.16
SERV-00596,VEH-0114,2023-09-06,Emergency Repair,6,985.95
SERV-00597,VEH-0693,2025-01-25,Repair,18,1164.63
SERV-00598,VEH-0062,2025-02-11,Routine Maintenance,30,690.29
SERV-00599,VEH-0220,2024-02-25,Routine Maintenance,2,155.73
SERV-00600,VEH-0331,2024-12-02,Inspection,25,696.53
SERV-00601,VEH-0264,2025-11-09,Repair,21,978.49
SERV-00602,VEH-0519,2023-01-24,Emergency Repair,9,269.83
SERV-00603,VEH-0992,2024-10-06,Emergency Repair,19,55.37
SERV-00604,VEH-0315,2025-06-09,Emergency Repair,14,635.67
SERV-00605,VEH-0258,2025-11-20,Routine Maintenance,18,377.48
SERV-00606,VEH-0057,2024-10-14,Emergency Repair,4,872.5
SERV-00607,VEH-0513,2025-01-11,Inspection,22,489.1
SERV-00608,VEH-0730,2023-07-04,Routine Maintenance,12,825.21
SERV-00609,VEH-0717,2024-07-05,Routine Maintenance,27,716.48
SERV-00610,VEH-0835,2024-12-09,Repair,6,853.99
SERV-00611,VEH-0583,2024-07-10,Repair,10,1059.03
SERV-00612,VEH-0239,2023-11-13,Inspection,16,173.05
SERV-00613,VEH-0998,2025-10-27,Repair,5,101.76
SERV-00614,VEH-0771,2024-07-02,Repair,16,613.71
SERV-00615,VEH-0605,2025-09-03,Inspection,16,824.21
SERV-00616,VEH-0179,2025-01-01,Routine Maintenance,2,541.96
SERV-00617,VEH-0467,2024-10-25,Routine Maintenance,13,221.37
SERV-00618,VEH-0523,2025-12-30,Emergency Repair,22,1311.79
SERV-00619,VEH-0621,2024-09-30,Repair,24,890.05
SERV-00620,VEH-0776,2024-01-10,Routine Maintenance,24,255.31
SERV-00621,VEH-0631,2025-04-18,Routine Maintenance,16,1365.41
SERV-00622,VEH-0690,2023-04-10,Repair,23,990.74
SERV-00623,VEH-0395,2022-03-11,Repair,21,122.44
SERV-00624,VEH-0717,2024-04-29,Routine Maintenance,15,936.28
SERV-00625,VEH-0304,2023-01-30,Routine Maintenance,4,770.86
SERV-00626,VEH-0335,2025-12-09,Repair,3,1216.46
SERV-00627,VEH-0352,2024-11-07,Inspection,26,1262.05
SERV-00628,VEH-0751,2024-09-03,Inspection,4,1464.99
SERV-00629,VEH-0837,2023-09-26,Inspection,27,1448.8
SERV-00630,VEH-0913,2024-03-22,Routine Maintenance,19,301.5
SERV-00631,VEH-0665,2025-01-12,Routine Maintenance,9,254.79
SERV-00632,VEH-0046,2024-07-15,Repair,23,586.39
SERV-00633,VEH-0166,2024-01-10,Emergency Repair,8,1392.23
SERV-00634,VEH-0199,2023-02-23,Repair,4,1197.03
SERV-00635,VEH-0242,2025-10-29,Emergency Repair,25,278.74
SERV-00636,VEH-0077,2025-02-15,Routine Maintenance,1,60.47
SERV-00637,VEH-0716,2025-12-06,Routine Maintenance,23,995.05
SERV-00638,VEH-0070,2025-11-27,Inspection,14,1055.58
SERV-00639,VEH-0236,2025-04-11,Repair,7,257.48
SERV-00640,VEH-0141,2024-01-26,Emergency Repair,14,396.92
SERV-00641,VEH-0075,2025-01-10,Routine Maintenance,20,311.0
SERV-00642,VEH-0043,2025-03-25,Routine Maintenance,21,1248.4
SERV-00643,VEH-0986,2024-01-11,Inspection,14,56.63
SERV-00644,VEH-1000,2023-12-24,Repair,4,1480.58
SERV-00645,VEH-0364,2024-03-30,Inspection,28,1153.64
SERV-00646,VEH-0220,2024-12-08,Repair,15,1166.98
SERV-00647,VEH-0794,2025-08-14,Repair,9,126.95
SERV-00648,VEH-0309,2023-03-23,Repair,22,1273.48
SERV-00649,VEH-0881,2024-11-09,Emergency Repair,6,281.65
SERV-00650,VEH-0696,2023-11-04,Routine Maintenance,21,578.08
SERV-00651,VEH-0442,2024-09-11,Emergency Repair,9,534.73
SERV-00652,VEH-0729,2024-08-18,Routine Maintenance,4,1123.6
SERV-00653,VEH-0256,2025-03-31,Repair,6,1188.96
SERV-00654,VEH-0229,2025-07-04,Routine Maintenance,3,1347.86
SERV-00655,VEH-0355,2024-11-22,Inspection,14,338.19
SERV-00656,VEH-0659,2025-09-19,Inspection,8,1179.51
SERV-00657,VEH-0181,2024-03-01,Repair,4,393.82
SERV-00658,VEH-0567,2024-07-31,Repair,13,1342.48
SERV-00659,VEH-0374,2023-07-28,Emergency Repair,19,752.39
SERV-00660,VEH-0327,2025-09-06,Repair,7,1395.44
SERV-00661,VEH-0243,2024-08-18,Repair,13,591.55
SERV-00662,VEH-0368,2025-04-29,Repair,21,569.96
SERV-00663,VEH-0704,2024-01-06,Repair,11,234.46
SERV-00664,VEH-0945,2025-05-07,Routine Maintenance,9,247.93
SERV-00665,VEH-0058,2025-03-20,Emergency Repair,14,298.24
SERV-00666,VEH-0584,2024-03-24,Repair,29,477.98
SERV-00667,VEH-0314,2023-09-18,Repair,19,1456.7
SERV-00668,VEH-0932,2024-05-17,Routine Maintenance,14,1292.61
SERV-00669,VEH-0883,2025-04-12,Repair,19,736.56
SERV-00670,VEH-0515,2024-11-25,Inspection,1,1108.53
SERV-00671,VEH-0776,2025-11-20,Repair,8,524.58
SERV-00672,VEH-0020,2024-12-28,Repair,29,1394.85
SERV-00673,VEH-0978,2023-06-10,Routine Maintenance,14,1471.27
SERV-00674,VEH-0424,2022-07-18,Emergency Repair,24,1164.48
SERV-00675,VEH-0806,2022-05-23,Emergency Repair,17,621.76
SERV-00676,VEH-0788,2023-01-19,Emergency Repair,16,398.74
SERV-00677,VEH-0753,2023-01-03,Emergency Repair,7,242.43
SERV-00678,VEH-0654,2024-09-30,Repair,21,1498.48
SERV-00679,VEH-0039,2022-08-26,Emergency Repair,22,492.01
SERV-00680,VEH-0254,2025-08-18,Emergency Repair,28,877.05
SERV-00681,VEH-0737,2023-02-20,Emergency Repair,15,1169.16
SERV-00682,VEH-0175,2025-10-09,Emergency Repair,6,1195.3
SERV-00683,VEH-0233,2024-05-27,Emergency Repair,23,968.43
SERV-00684,VEH-0776,2025-08-01,Routine Maintenance,13,1345.48
SERV-00685,VEH-0334,2025-05-03,Routine Maintenance,10,667.56
SERV-00686,VEH-0452,2023-11-27,Repair,26,1042.76
SERV-00687,VEH-0139,2024-11-21,Routine Maintenance,17,1420.72
SERV-00688,VEH-0839,2025-12-21,Inspection,29,124.77
SERV-00689,VEH-0073,2024-05-08,Inspection,15,947.74
SERV-00690,VEH-0898,2024-06-12,Inspection,6,989.85
SERV-00691,VEH-0319,2022-08-15,Repair,5,1472.81
SERV-00692,VEH-0644,2025-02-10,Routine Maintenance,21,743.82
SERV-00693,VEH-0448,2025-10-01,Repair,25,1130.27
SERV-00694,VEH-0171,2023-06-11,Inspection,12,1352.0
SERV-00695,VEH-0028,2025-04-06,Emergency Repair,9,128.97
SERV-00696,VEH-0544,2025-07-20,Inspection,15,755.03
SERV-00697,VEH-0643,2025-11-07,Routine Maintenance,16,1079.25
SERV-00698,VEH-0673,2025-03-13,Inspection,15,950.38
SERV-00699,VEH-0456,2023-02-25,Repair,29,1331.77
SERV-00700,VEH-0224,2024-08-27,Routine Maintenance,13,1352.02
SERV-00701,VEH-0166,2024-09-19,Routine Maintenance,4,288.91
SERV-00702,VEH-0279,2024-09-20,Repair,16,268.22
SERV-00703,VEH-0064,2024-05-31,Routine Maintenance,10,653.98
SERV-00704,VEH-0028,2025-06-22,Repair,16,552.72
SERV-00705,VEH-0697,2024-12-11,Routine Maintenance,10,324.14
SERV-00706,VEH-0669,2023-01-01,Repair,27,1423.8
SERV-00707,VEH-0692,2025-10-01,Inspection,14,889.12
SERV-00708,VEH-0380,2025-06-27,Emergency Repair,19,1015.49
SERV-00709,VEH-0291,2025-10-16,Emergency Repair,15,490.92
SERV-00710,VEH-0930,2023-09-13,Inspection,6,1194.44
SERV-00711,VEH-0232,2024-01-22,Emergency Repair,12,1457.55
SERV-00712,VEH-0850,2025-12-04,Routine Maintenance,5,562.03
SERV-00713,VEH-0656,2025-01-09,Repair,20,1389.99
SERV-00714,VEH-0402,2025-07-24,Inspection,6,1461.15
SERV-00715,VEH-0797,2023-10-29,Repair,8,219.53
SERV-00716,VEH-0459,2024-11-11,Repair,15,427.59
SERV-00717,VEH-0205,2023-11-18,Repair,18,1075.34
SERV-00718,VEH-0833,2025-10-05,Inspection,12,264.52
SERV-00719,VEH-0536,2024-08-29,Repair,18,487.26
SERV-00720,VEH-0916,2022-04-07,Emergency Repair,30,774.15
SERV-00721,VEH-0999,2024-04-05,Emergency Repair,30,514.32
SERV-00722,VEH-0881,2023-07-17,Inspection,21,1072.9
SERV-00723,VEH-0278,2025-10-05,Inspection,25,1472.0
SERV-00724,VEH-0377,2023-08-23,Emergency Repair,11,1049.26
SERV-00725,VEH-0035,2025-08-16,Routine Maintenance,5,1033.11
SERV-00726,VEH-0593,2022-12-29,Inspection,1,632.36
SERV-00727,VEH-0489,2024-02-07,Emergency Repair,12,184.1
SERV-00728,VEH-0144,2023-10-18,Repair,19,813.33
SERV-00729,VEH-0242,2023-11-04,Repair,1,171.2
SERV-00730,VEH-0866,2025-06-13,Routine Maintenance,17,621.91
SERV-00731,VEH-0675,2025-04-24,Inspection,20,927.36
SERV-00732,VEH-0946,2023-06-19,Inspection,13,264.52
SERV-00733,VEH-0738,2025-04-30,Inspection,13,590.61
SERV-00734,VEH-0517,2024-02-23,Inspection,12,496.72
SERV-00735,VEH-0450,2025-04-19,Routine Maintenance,7,1105.39
SERV-00736,VEH-0032,2025-04-01,Emergency Repair,26,691.63
SERV-00737,VEH-0786,2024-11-08,Emergency Repair,24,1349.82
SERV-00738,VEH-0770,2024-07-06,Routine Maintenance,5,351.29
SERV-00739,VEH-0383,2025-05-03,Inspection,3,1403.07
SERV-00740,VEH-0664,2025-12-26,Emergency Repair,3,59.6
SERV-00741,VEH-0498,2024-12-23,Emergency Repair,6,855.93
SERV-00742,VEH-0674,2025-06-10,Repair,7,319.71
SERV-00743,VEH-0181,2024-06-23,Inspection,18,761.35
SERV-00744,VEH-0742,2025-12-26,Inspection,27,898.55
SERV-00745,VEH-0294,2025-03-17,Emergency Repair,8,88.92
SERV-00746,VEH-0687,2022-11-21,Repair,9,485.25
SERV-00747,VEH-0725,2025-07-27,Emergency Repair,4,998.03
SERV-00748,VEH-0026,2025-04-02,Emergency Repair,6,763.24
SERV-00749,VEH-0012,2025-08-27,Repair,1,223.06
SERV-00750,VEH-0679,2024-01-23,Emergency Repair,3,918.39
SERV-00751,VEH-0179,2024-10-03,Emergency Repair,19,682.3
SERV-00752,VEH-0860,2024-01-25,Emergency Repair,23,1236.51
SERV-00753,VEH-0617,2024-08-21,Routine Maintenance,28,426.33
SERV-00754,VEH-0138,2025-08-14,Routine Maintenance,5,513.54
SERV-00755,VEH-0051,2023-11-28,Inspection,6,126.69
SERV-00756,VEH-0527,2025-07-11,Emergency Repair,21,1372.55
SERV-00757,VEH-0375,2024-09-26,Routine Maintenance,10,472.91
SERV-00758,VEH-0055,2024-10-23,Repair,25,960.64
SERV-00759,VEH-0508,2025-05-22,Routine Maintenance,20,1141.31
SERV-00760,VEH-0449,2025-05-14,Inspection,28,508.51
SERV-00761,VEH-0618,2024-04-21,Inspection,22,1062.05
SERV-00762,VEH-0266,2024-07-16,Routine Maintenance,18,891.07
SERV-00763,VEH-0853,2024-02-20,Routine Maintenance,5,801.35
SERV-00764,VEH-0261,2024-09-18,Emergency Repair,14,543.45
SERV-00765,VEH-0118,2023-05-28,Routine Maintenance,7,274.1
SERV-00766,VEH-0474,2025-04-12,Repair,26,1350.73
SERV-00767,VEH-0503,2025-11-07,Routine Maintenance,14,717.71
SERV-00768,VEH-0512,2023-12-04,Routine Maintenance,27,240.29
SERV-00769,VEH-0889,2022-12-26,Emergency Repair,12,501.78
SERV-00770,VEH-0560,2025-02-11,Repair,27,690.81
SERV-00771,VEH-0817,2025-11-25,Inspection,6,1079.35
SERV-00772,VEH-0790,2024-05-13,Routine Maintenance,8,236.64
SERV-00773,VEH-0833,2025-11-03,Repair,23,378.53
SERV-00774,VEH-0807,2023-07-04,Repair,5,1472.61
SERV-00775,VEH-0110,2024-12-17,Routine Maintenance,3,77.27
SERV-00776,VEH-0680,2025-05-14,Emergency Repair,2,334.71
SERV-00777,VEH-0204,2023-12-25,Routine Maintenance,16,222.44
SERV-00778,VEH-0892,2023-08-13,Routine Maintenance,3,487.39
SERV-00779,VEH-0989,2025-01-11,Routine Maintenance,26,229.5
SERV-00780,VEH-0723,2025-07-19,Repair,19,1356.7
SERV-00781,VEH-0047,2023-06-13,Inspection,1,181.63
SERV-00782,VEH-0861,2025-11-18,Inspection,19,554.36
SERV-00783,VEH-0918,2023-05-04,Repair,17,876.84
SERV-00784,VEH-0700,2022-11-14,Routine Maintenance,17,364.65
SERV-00785,VEH-0129,2025-01-31,Inspection,6,1357.41
SERV-00786,VEH-0251,2025-02-23,Routine Maintenance,24,193.09
SERV-00787,VEH-0629,2024-10-14,Emergency Repair,12,1062.29
SERV-00788,VEH-0806,2023-03-30,Emergency Repair,22,1438.73
SERV-00789,VEH-0676,2024-11-10,Inspection,13,664.93
SERV-00790,VEH-0710,2025-04-19,Repair,14,213.63
SERV-00791,VEH-0611,2024-04-24,Routine Maintenance,15,209.96
SERV-00792,VEH-0724,2024-10-30,Emergency Repair,25,573.81
SERV-00793,VEH-0481,2024-10-15,Routine Maintenance,3,525.77
SERV-00794,VEH-0231,2024-07-09,Emergency Repair,10,712.57
SERV-00795,VEH-0745,2025-11-20,Inspection,22,1465.46
SERV-00796,VEH-0096,2024-07-29,Repair,18,640.56
SERV-00797,VEH-0470,2025-12-23,Emergency Repair,7,1292.32
SERV-00798,VEH-0488,2025-08-29,Inspection,6,68.54
SERV-00799,VEH-0286,2025-07-17,Routine Maintenance,13,685.18
SERV-00800,VEH-0540,2025-03-02,Routine Maintenance,4,257.88
SERV-00801,VEH-0300,2025-01-04,Routine Maintenance,24,1391.67
SERV-00802,VEH-0620,2023-03-19,Routine Maintenance,12,1464.05
SERV-00803,VEH-0157,2025-07-18,Repair,20,1273.84
SERV-00804,VEH-0145,2024-10-21,Routine Maintenance,8,1265.26
SERV-00805,VEH-0649,2025-08-23,Inspection,25,1084.57
SERV-00806,VEH-0829,2025-06-11,Inspection,25,1194.76
SERV-00807,VEH-0562,2025-07-31,Emergency Repair,12,739.95
SERV-00808,VEH-0523,2025-05-01,Emergency Repair,17,454.39
SERV-00809,VEH-0239,2025-09-20,Emergency Repair,4,227.18
SERV-00810,VEH-0019,2024-09-07,Emergency Repair,8,961.14
SERV-00811,VEH-0254,2024-10-30,Routine Maintenance,4,1119.81
SERV-00812,VEH-0607,2025-02-27,Emergency Repair,22,88.79
SERV-00813,VEH-0060,2023-06-01,Emergency Repair,20,1034.85
SERV-00814,VEH-0153,2024-04-04,Inspection,20,953.69
SERV-00815,VEH-0689,2025-11-16,Routine Maintenance,22,1139.83
SERV-00816,VEH-0222,2025-06-24,Emergency Repair,7,475.67
SERV-00817,VEH-0576,2025-09-20,Emergency Repair,17,429.41
SERV-00818,VEH-0249,2024-05-24,Routine Maintenance,25,95.82
SERV-00819,VEH-0828,2025-04-17,Routine Maintenance,13,702.67
SERV-00820,VEH-0462,2025-06-22,Emergency Repair,15,102.17
SERV-00821,VEH-0070,2023-12-01,Inspection,29,1073.79
SERV-00822,VEH-0760,2024-11-25,Emergency Repair,5,503.07
